RE;Data;Horário Entrada;Data;Horário Saída
5317438;17/09/2023;13:30:00;17/09/2023;22:30:00
5241453;17/09/2023;13:30:00;17/09/2023;22:30:00
3862446;17/09/2023;05:30:00;17/09/2023;14:20:00
3404347;17/09/2023;14:00:00;17/09/2023;23:20:00
5034616;17/09/2023;06:30:00;17/09/2023;17:00:00
5099207;17/09/2023;06:30:00;17/09/2023;17:00:00
3851074;17/09/2023;06:30:00;17/09/2023;17:00:00
5112350;17/09/2023;23:20:00;18/09/2023;09:00:00
727021;16/09/2023;06:30:00;16/09/2023;16:30:00
5267924;16/09/2023;06:30:00;16/09/2023;16:30:00
3880917;16/09/2023;03:30:00;16/09/2023;12:20:00
3531163;17/09/2023;02:30:00;17/09/2023;12:00:00
865318;17/09/2023;05:30:00;17/09/2023;14:00:00
5316747;17/09/2023;05:30:00;17/09/2023;14:00:00
863251;17/09/2023;04:30:00;17/09/2023;13:20:00
864821;17/09/2023;05:30:00;17/09/2023;14:00:00
864890;17/09/2023;05:30:00;17/09/2023;14:00:00
866512;17/09/2023;05:30:00;17/09/2023;14:00:00
727526;17/09/2023;06:30:00;17/09/2023;18:00:00
3113540;17/09/2023;05:30:00;17/09/2023;16:00:00
3468789;17/09/2023;05:30:00;17/09/2023;16:00:00
5043308;17/09/2023;06:30:00;17/09/2023;17:00:00
727346;17/09/2023;16:30:00;18/09/2023;02:00:00
726924;17/09/2023;20:30:00;18/09/2023;06:00:00
5158647;17/09/2023;20:30:00;18/09/2023;06:00:00
726538;17/09/2023;13:30:00;17/09/2023;22:30:00
726869;17/09/2023;13:30:00;17/09/2023;22:30:00
3757991;17/09/2023;13:30:00;17/09/2023;22:30:00
5188704;17/09/2023;13:30:00;17/09/2023;22:30:00
5079917;17/09/2023;13:30:00;17/09/2023;22:30:00
3670170;17/09/2023;13:30:00;17/09/2023;22:30:00
728016;17/09/2023;13:30:00;17/09/2023;22:30:00
3439979;17/09/2023;13:30:00;17/09/2023;22:30:00
727145;17/09/2023;13:30:00;17/09/2023;22:30:00
5060001;17/09/2023;13:30:00;17/09/2023;22:30:00
727822;17/09/2023;11:30:00;17/09/2023;22:30:00
726671;17/09/2023;11:30:00;17/09/2023;22:30:00
727556;17/09/2023;11:30:00;17/09/2023;22:30:00
726614;17/09/2023;11:30:00;17/09/2023;22:30:00
5168091;17/09/2023;11:30:00;17/09/2023;22:30:00
5056129;17/09/2023;11:30:00;17/09/2023;22:30:00
726946;17/09/2023;20:30:00;18/09/2023;07:00:00
